season,Aaron Brooks,Aaron Gordon,Aaron Wiggins,Acie Earl,Adrian Dantley,Al Harrington,Al Jefferson,Alex English,Allan Houston,Allen Crabbe,Allen Iverson,Allen Leavell,Alonzo Mourning,Alperen Şengün,Alvin Robertson,Amar'e Stoudemire,Andre Miller,Andrea Bargnani,Andrew Bynum,Andrew Toney,Andrew Wiggins,Anfernee Hardaway,Anfernee Simons,Antawn Jamison,Anthony Davis,Anthony Edwards,Anthony Johnson,Anthony Morrow,Anthony Peeler,Antoine Carr,Antoine Walker,Antonio McDyess,Armen Gilliam,Arron Afflalo,Artis Gilmore,Austin Reaves,Austin Rivers,Bam Adebayo,Baron Davis,Ben Gordon,Ben Simmons,Bernard King,Billy Knight,Billy Ray Bates,Blake Griffin,Bobby Phills,Bogdan Bogdanović,Bojan Bogdanović,Bonzi Wells,Brad Daugherty,Bradley Beal,Brandon Ingram,Brandon Jennings,Brandon Roy,Brian Winters,Bryant Reeves,Buddy Hield,Butch Carter,C.J. Miles,C.J. Watson,CJ McCollum,Cade Cunningham,Calvin Murphy,Calvin Natt,Cam Thomas,Caris LeVert,Carlos Boozer,Carmelo Anthony,Caron Butler,Cedric Ceballos,Charles Barkley,Charles Smith,Charlie Villanueva,Chauncey Billups,Chris Bosh,Chris Mullin,Chris Paul,Chris Webber,Chuck Person,Cliff Robinson,Clifford Robinson,Clyde Drexler,Coby White,Collin Sexton,Corey Brewer,Corliss Williamson,Cuttino Mobley,D'Angelo Russell,Dale Ellis,Damian Lillard,Damien Wilkins,Damon Stoudamire,Dan Issel,Dana Barros,Danilo Gallinari,Danny Ainge,Danny Granger,Danny Manning,Darius Garland,Darius Miles,Darrell Griffith,David Robinson,David Thompson,David West,De'Aaron Fox,DeMar DeRozan,DeMarcus Cousins,Dee Brown,Dejounte Murray,Deni Avdija,Dennis Schröder,Dennis Scott,Derek Harper,Derek Smith,Deron Williams,Derrick Coleman,Derrick Rose,Derrick White,Desmond Bane,Devin Booker,Devin Harris,Devonte' Graham,Dirk Nowitzki,Domantas Sabonis,Dominique Wilkins,Donovan Mitchell,Donte DiVincenzo,Dražen Petrović,Dwight Howard,Dwyane Wade,Eddie Johnson,Eddy Curry,Elden Campbell,Elton Brand,Elvin Hayes,Eric Bledsoe,Eric Gordon,Evan Fournier,Evan Mobley,Fred VanVleet,Freeman Williams,GG Jackson II,Gary Payton,Gary Trent Jr.,Gene Banks,George Gervin,George McGinnis,Gerald Green,Gerald Wallace,Gerald Wilkins,Giannis Antetokounmpo,Gilbert Arenas,Glen Rice,Glenn Robinson,Goran Dragić,Gordon Hayward,Grant Hill,Grayson Allen,Gus Williams,Hakeem Olajuwon,Harvey Grant,Herb Williams,Hersey Hawkins,Immanuel Quickley,Isaiah Rider,Isaiah Thomas,Isiah Thomas,J.R. Smith,JJ Redick,Ja Morant,Jaime Jaquez Jr.,Jalen Brunson,Jalen Green,Jalen Rose,Jalen Williams,Jamal Crawford,Jamal Mashburn,Jamal Murray,James Harden,James Worthy,Jaren Jackson Jr.,Jason Kidd,Jason Richardson,Jason Terry,Jay Vincent,Jaylen Brown,Jayson Tatum,Jeff Green,Jeff Hornacek,Jeff Malone,Jerami Grant,Jermaine O'Neal,Jerry Stackhouse,Jim Jackson,Jim Paxson,Jimmy Butler,Jodie Meeks,Joe Barry Carroll,Joe Dumars,Joe Johnson,Joel Embiid,John Drew,John Long,John Wall,Johnny Newman,Jordan Clarkson,Jordan Crawford,Jordan Poole,Josh Hart,Josh Howard,Jrue Holiday,Julius Erving,Julius Randle,Juwan Howard,Kareem Abdul-Jabbar,Karl Malone,Karl-Anthony Towns,Kawhi Leonard,Keegan Murray,Kelly Oubre Jr.,Kelly Tripucka,Kemba Walker,Kendall Gill,Kenneth Lofton Jr.,Kenny Anderson,Kenny Smith,Kerry Kittles,Kevin Durant,Kevin Garnett,Kevin Johnson,Kevin Love,Kevin Martin,Kevin McHale,Kevin Porter Jr.,Khris Middleton,Kiki Vandeweghe,Klay Thompson,Kobe Bryant,Kristaps Porziņģis,Kyle Kuzma,Kyle Lowry,Kyrie Irving,LaMarcus Aldridge,LaMelo Ball,Lamond Murray,Larry Bird,Larry Hughes,Larry Johnson,Larry Kenon,Larry Nance,Latrell Sprewell,Lauri Markkanen,LeBron James,Leandro Barbosa,Ledell Eackles,Linas Kleiza,Lionel Simmons,Lou Williams,Luguentz Dort,Luis Scola,Luka Dončić,Luol Deng,Magic Johnson,Mahmoud Abdul-Rauf,Malachi Flynn,Malik Monk,Manu Ginóbili,Marc Gasol,Marcus Thornton,Mark Aguirre,Marques Johnson,Mehmet Okur,Michael Adams,Michael Beasley,Michael Dickerson,Michael Finley,Michael Jordan,Michael Redd,Mickey Johnson,Mikal Bridges,Mike Bibby,Mike Conley,Mike Dunleavy,Mike Gminski,Mike McGee,Mike Miller,Mike Mitchell,Mike Newlin,Mike Woodson,Miles Bridges,Mitch Richmond,Mo Williams,Monta Ellis,Moses Malone,Mychal Thompson,Myles Turner,Nate Robinson,Nick Anderson,Nick Van Exel,Nick Young,Nikola Jokić,Nikola Vučević,Norman Powell,O.J. Mayo,OG Anunoby,Obi Toppin,Orlando Woolridge,Otis Birdsong,Otis Thorpe,P.J. Washington,Paolo Banchero,Pascal Siakam,Pat Connaughton,Patrick Ewing,Pau Gasol,Paul George,Paul Millsap,Paul Pierce,Paul Westphal,Payton Pritchard,Peja Stojaković,Purvis Short,Quentin Grimes,Quentin Richardson,Quinn Buckner,Quintin Dailey,RJ Barrett,Rajon Rondo,Ralph Sampson,Ramon Sessions,Randy Breuer,Rashard Lewis,Rasheed Wallace,Ray Allen,Ray Williams,Reggie Jackson,Reggie Lewis,Reggie Miller,Reggie Theus,Rex Chapman,Richard Hamilton,Richard Jefferson,Rickey Green,Ricky Davis,Ricky Pierce,Rik Smits,Robert Covington,Robert Horry,Robert Parish,Rod Higgins,Rodney Stuckey,Rodrigue Beaubois,Rolando Blackman,Ron Brewer,Ron Harper,Rony Seikaly,Rudy Gay,Russell Westbrook,Saddiq Bey,Sam Cassell,Sam Perkins,Scott Skiles,Scott Wedman,Scottie Pippen,Sean Elliott,Sedale Threatt,Shai Gilgeous-Alexander,Shaquille O'Neal,Shareef Abdur-Rahim,Shawn Kemp,Shawn Marion,Sherman Douglas,Sidney Moncrief,Sleepy Floyd,Spencer Dinwiddie,Stephen Curry,Stephen Jackson,Stephon Marbury,Steve Francis,Steve Johnson,Steve Nash,Steve Smith,T.J. Warren,Talen Horton-Tucker,Terrence Ross,Terry Catledge,Terry Cummings,Terry Mills,Terry Porter,Terry Rozier,Terry Teagle,Thurl Bailey,Tim Duncan,Tim Hardaway,Tim Hardaway Jr.,Todd Day,Tom Chambers,Tony Campbell,Tony Delk,Tony Parker,Tracy McGrady,Tracy Murray,Trae Young,Trevor Ariza,Trey Burke,Trey Murphy III,Truck Robinson,Tyler Herro,Tyreke Evans,Tyrese Haliburton,Tyrese Maxey,Vernon Maxwell,Victor Oladipo,Victor Wembanyama,Vin Baker,Vince Carter,Wally Szczerbiak,Walt Williams,Walter Davis,Wayman Tisdale,Willie Burton,World B. Free,Xavier McDaniel,Yao Ming,Zach LaVine,Zach Randolph,Zion Williamson
1980,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0
1981,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,3,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
1985,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
